year, winter, spring, summer, fall
1995,-68.9852509021655,-7.76938477302439,-0.578511646907367,-2.93286030683931
1996,-17.2580417773791,-6.06057982652795,-0.674131297726149,-0.580328726910555
1997,-1.71503318467775,-4.31822236909814,0.21550619463731,-0.95368813991544
1998,-4.29437312319487,-0.461806860789182,-8.47438685064988,-0.307422225203939
1999,-0.411403435192207,-135.432323613342,-5.43702194391552,0.115030442218009
2000,-615.388898035751,-93.7588470768511,-3.83683516771455,0.184671227192756
2001,-328.58559801578,-88.255301346147,-25.6150454395868,0.29701995155819
2002,-33.7511750241855,-10.432014363923,-2.34434533100577,-7.63926792014046
2003,-136.356247691634,-105.759956883248,-65.6872336391381,0.132721796265999
2004,-58.5357951373986,-206.059522315938,-13.6662556382714,-1.41440770603571
2005,-33.8344252510374,-80.3475000397621,-9.12597013640805,0.0485750183085495
2006,-7.03832493143522,-15.2660826210245,-18.9239462017556,-0.0470556286283912
2007,-22.5661574843823,0.501629833242492,-1.30478529529002,0.161042653785182
2008,-13.5100919614189,-0.0854842379849177,-14.7491801062872,-0.0822370270336543
2009,-83.1028550002411,-4.01953649211387,-0.512839062903906,-0.0221043277575148
2010,-119.284629493102,-101.113558577612,-0.102419392363654,0.104337060832182
2011,-82.513202094978,0.0948568318032857,-1.08449504700357,-0.0065914701647285
2012,-15.7144006542261,-43.2852103011021,-5.50167559859406,-6.79456366651017
2013,-79.7134327716666,-157.963323754585,-19.309075032869,-0.31367017295343
2014,-4.78711878495107,-0.42610486849884,-10.8439625190521,0.0989154020508983
2015,-18.7007106930463,-0.428396462432839,0.2990639400411,-0.420306619576631
2016,-27.7559022392833,0.596956767057877,-3.66137159037902,-0.0425908827920718
2017,-19.2924325127688,-28.679063201498,-13.1708378226599,-0.0906892566892696
