year, winter, spring, summer, fall
1995,-95.5622972341341,-1.23277244058238,0.279457056798827,-52.2725939706883
1996,-141.489480393829,0.691208667030093,-0.305750327838437,-22.3131496517609
1997,-41.4713268088606,0.595263216072712,0.369973809789168,-5.73189051610012
1998,-46.2649878285028,-0.140595067035617,0.522468149561809,-43.0440793008149
1999,-138.776456079698,0.82197164265101,0.352699471825382,-13.4512565704908
2000,-34.9376752454579,0.315071981121436,-0.0241342236595932,-32.8996052186798
2001,-57.8897585918666,-0.00233389701494824,-21.7498288339132,-81.9720384638771
2002,-189.13682051211,-9.17221984992747,-5.32790044779814,-33.6288678450308
2003,-131.07696556468,-1.16573218748927,-4.16745265591414,-50.1387028740753
2004,-492.432260826948,-12.8928815786716,-2.10052531246711,-33.4144970762258
2005,-197.959321324498,0.821014051187161,-3.51921275148597,-69.8013003024887
2006,-87.3376896494196,0.682463418132288,-3.83283797235971,-28.2954648457111
2007,-254.402906882802,-1.13402066089634,-29.657598464133,-122.841684919638
2008,-343.254993811149,0.551200580794737,0.0244046266091413,-53.3707377656381
2009,-116.114720356547,0.762304239852712,0.747860212156163,-50.6282255717059
2010,-247.610610395097,-17.5749491717661,-1.66187425260009,-54.216807274476
2011,-561.234128248629,-0.615016217269409,-1.04059701860114,-65.3024398870788
2012,-372.741551649668,-3.18657209909423,-0.224438350201677,-34.8654752199904
2013,-31.5735926818641,-1.55148176599097,-15.2890111654442,-10.5264496268407
2014,-117.740932011067,-2.4065521829899,-8.96413647494045,-8.03997461933151
2015,-196.601644743769,-1.69895628500665,0.091881635910315,-22.9126729487932
2016,-166.190853769546,-0.635563740360223,-0.00372092005317337,-3.29038264435005
2017,-33.7709686350132,0.40488534548168,-0.166022191518195,-4.29419302975109
