year, winter, spring, summer, fall
2009,-1.45543437864439,-3.78337280453193,-1.34444434173022,-3.41654582027413
2010,-3.96315583716281,-2.72960931074999,-14.3160649573518,-12.4434944690199
2011,-66.1262135572842,-5.6130602642561,-30.164401610494,-1.75759705162617
2012,-8.9728119493161,-2.71094341046315,-1.56409730875616,-5.80124020887728
2013,-5.84266802443992,-1.66401149067724,-3.11832916440791,-3.31643463285508
2014,-5.87819871614338,-1.46057426067321,-3.78103539490784,-2.68811350854859
2015,-14.3274578591597,-3.95709055285736,-6.36277235689659,-3.29364895872536
2016,-4.59952439360608,-13.6085503214292,-5.11041688995362,-10.1904156862222
2017,-14.7240542128896,-5.78574725702956,-2.03500144180335,-8.07486876855887
