year, winter, spring, summer, fall
1995,-0.763948217394504,-0.737521760612615,-0.378636602965523,-0.62310231136546
1996,-1.08258654312219,-0.762297942853369,-0.454312260871506,-1.36352118266353
1997,-0.954709065598516,-0.49055756984716,-0.742028981315675,-0.982987744237837
1998,-0.58466771458328,-0.9459719266836,-0.81620744764987,-0.308715625878717
1999,-1.00613809555127,-0.422211918187093,-0.404219249711084,-1.25340574526593
2000,-0.94406184723239,-0.50643756170599,-0.337269961738932,-1.21432955014931
2001,-1.2785140248716,-1.33742981859961,-0.492462369670812,-1.08147034781842
2002,-0.740097216923903,-0.483464374265439,-0.125408187799399,-0.361984621331409
2003,-0.584029247784398,-0.240554583871617,-0.442314161851605,-1.19843106893444
2004,-1.39380926344013,-1.04793459451891,-0.618073331192136,-0.410360908970956
2005,-0.434371017791594,-0.869491628416939,-0.529065883906777,-0.52991419166959
2006,-1.61002567932506,-0.816245285027612,-0.477308361632782,-1.48558426878546
2007,-1.14705459048864,-0.0791877629148718,-0.823257907013077,-0.396660962420021
2008,-1.01320634728191,-0.0789262948801386,-0.402799871526509,-1.00816997759725
2009,-0.346346073345847,-0.431534859917489,-1.25595654987139,-0.637523129049832
2010,-0.509550265759651,-0.797432915479581,-0.204612823322127,-0.59937594618381
2011,-1.15953018269474,-0.307195376399047,-0.553769669620966,-0.246348355569266
2012,-0.499805869836674,-0.734819913074194,-0.897692014990555,-1.99851176211515
2013,-0.915010013401992,-0.505589347452415,-0.667546904926243,-1.35061938766314
2014,-1.2234074185671,-1.28339775683954,-0.327854891562128,-0.265937724972597
2015,-0.88142881962568,-0.844929794669824,-0.242675041633866,-0.912876969805069
2016,-0.562081015089094,-0.582462060395815,-0.395659860075972,-0.874812998241082
2017,-1.01858068078664,-0.263475837088109,-0.405063355069252,-0.758240071952452
