year, winter, spring, summer, fall
1995,-21.8800101860752,-57.930139381564,-2.22522237489686,-2.06433367608928
1996,-10.2618704764326,-1.97060466932887,-110.172539150511,-5.13277766116268
1997,-5.64732673243151,-3.937218290142,-2.02244985075245,-0.624375531873809
1998,-636.654991102785,-48.8696268300885,-7.33893526676453,-0.61879524782268
1999,-86.2138122230647,-4.89968025277802,-1.53593733865936,-39.9247251600651
2000,-67.0020912315423,-3.00886547614514,-27.3695874276533,-9.84188059428054
2001,-25.4497940172844,-26.7462919862934,-2.51328545550706,-37.1997932251546
2002,-195.04870875572,-41.1318906038579,-172.991012532285,-7.89980706778519
2003,-6.71516733772042,-27.6189314896657,-47.6710907159193,-20.7115202015279
2004,-22.1841219173365,-12.380213494566,-54.5735426039329,-1.31681781960832
2005,-4.12791487419475,-14.9456976103355,-5.99609195267021,-9.20638496572226
2006,-89.9399662068226,-0.846952894958453,-2.4785050409599,-14.0694969995573
2007,-319.738409093959,-2.81294846034264,-2.82293914850236,-10.1911937932074
2008,-31.3498175179514,-42.0636561949714,-21.0844749068889,-15.2719806018094
2009,-46.171565123548,-8.80118524770084,-433.131754973331,-26.2478661193747
2010,-43.0797168719747,-140.599236298094,-31.2189499171689,-1.51628207984286
2011,-0.311683185146066,-5.9159282104265,-2.16617512875459,-1.7040589829935
2012,-66.5417263440849,-8.65108267881964,-6.99011830135707,-5.24363117841232
2013,-55.6840051589426,-13.7311299015801,-1.23293776783371,-2.02132917384274
2014,-68.7080926820887,-5.81551843376861,-3.86840176345018,-0.227095066003955
2015,-44.8492763629255,-22.0153960027446,-2.85935830886487,-0.366165373813243
2016,-27.9353109172049,-3.84000061627907,-3.22346353623068,-0.271739359452029
2017,-12.4446490343772,-8.28151513882725,-2.91484529646624,-56.5452964274421
