year, winter, spring, summer, fall
2002,0.285228381280516,-1.85001796361153,-1.74614715868829,0.755483096295831
2003,0.837930427601279,0.547782436103051,0.61755666507911,-0.0990004108635789
2004,0.481673834635885,0.236599559373523,0.72719996294023,0.808239045928057
2005,0.442075522993073,0.605044924269142,0.104523354145492,0.639925183875947
2006,0.3820978125547,-11.5069800890924,-4.3815168567945,0.342287758339581
2007,-2.75946780065525,-12.0894387147353,0.622701874202384,-7.23364623397055
2008,-0.0246692164255149,0.338830210824223,0.918302309646426,0.487268568203909
2009,-0.295768496258807,-0.0564759069098568,-2.03591705702077,0.787588214567551
2010,-0.690013033687574,0.785310946716035,-0.922461461001745,-5.31078156895242
2011,-1.71133551079784,-0.630625800357444,-2.31320994626407,0.912214637538771
2012,-0.677072058831795,-4.45164436407981,-2.24501538852516,-2.0050050883098
2013,0.192336114278121,-4.9854602283265,-9.1261494875259,0.183218187558159
2014,-3.12669927733974,-6.63194960089991,0.353705493155416,0.770458884535607
2015,-0.283206547334006,0.423497677396106,0.743635554456862,0.7208349278863
2016,-0.274493416794681,-0.57234508039488,-14.4433711761564,-0.460820885521497
2017,-0.535962837893233,-2.87091525717278,-1.75271894440358,0.879467216121029
