year, winter, spring, summer, fall
1995,-14.360810637467,-98.5357937716003,-317.161926933799,-123.0555391869
1996,-55.4592246122825,-95.6143380114719,-401.584283411568,-94.9637663034496
1997,-53.659820832744,-120.385363961413,-285.074581663157,-30.0931218696085
1998,-25.7397743098838,-133.977238887376,-185.257183650785,-72.8429148448224
1999,-52.5812577114131,-129.865712603342,-77.3267417417412,-106.748092925429
2000,-69.2936419691202,-83.6844384954918,-220.245548348741,-61.4888717654137
2001,-31.9191150477783,-18.2822831987103,-243.948981132163,-116.627279281874
2002,-54.8851774398234,-146.606538890148,-277.724758033782,-59.4909103296251
2003,-46.5600300797289,-41.9839932720205,-170.632770054527,-71.7412414230982
2004,-14.0996086730396,-22.5382767528695,-231.786423090896,-46.8323108813293
2005,-23.2972848594217,-106.239945231745,-62.3070007248306,-53.6590941068619
2006,-68.3783783504581,-52.0400660566016,-144.410914304226,-70.80628213779
2007,-65.0363502068742,-126.38911392943,-262.272207110365,-37.510018205459
2008,-17.7149894508235,-163.679786556653,-297.247483740282,-157.714553248195
2009,-37.5923642729404,-73.0708616117294,-228.489906231015,-83.6770684502317
2010,-14.2382489298269,-50.0524989956311,-245.207834589281,-37.0621759512889
2011,-27.2593260397806,-111.002254902431,-181.146836243696,-101.651273587988
2012,-41.1273396424649,-113.155073122283,-58.9304082148667,-52.3994457696803
2013,-46.2354806290679,-143.240899071023,-13.4294772024602,-19.0490147088722
2014,-53.3170153089604,-87.324633678973,-41.5974776275908,-33.2329917516907
2015,-43.2158962198826,-37.3866085466393,-152.648161225435,-124.15347741636
2016,-36.0548943729752,-272.482953221597,-65.1504412900635,-57.4333045598677
2017,-25.9912461205106,-118.936736541353,-48.6484182988603,-45.9537137417995
