year, winter, spring, summer, fall
1995,-0.0511134929064971,-2.11249188362841,-0.17736434598067,-12.1920846067667
1996,-2.03899541593267,-103.071403036996,-36.0720228093298,-5.616521698926
1997,-0.557048404321689,-3.51320672117693,-41.6244405813677,-350.2545542742
1998,-62.3564081458533,-0.664534435144032,-1.07488193727299,-16.0937287506111
1999,-3.98275108690166,0.713796729070963,0.79704829288536,-35.1109735667446
2000,-65.6179619283115,-6.40127702263062,0.031635390153699,-6.60572688631681
2001,-1.49237125530928,-3.78449820746972,-5.72969832294873,-2.7893028228075
2002,-6.45942348455129,-23.9218808097211,-6.39037711991183,-7.91262212638446
2003,-15.7670198316881,-10.416150191102,-4.33235886684714,-4.85138291167928
2004,-0.797270036733116,-17.4806565993424,-85.2962873964639,-61.6935953737325
2005,-20.4404550671116,0.160466852691832,-14.0747108286448,-6.92487649539415
2006,-3.27602942804636,0.312556662170811,-3.11892728930808,-1.30962435766461
2007,-0.937186130589942,-11.1456164489295,-50.390563219296,-30.9974041536359
2008,-56.1694813187145,-10.3239715933222,-20.1199169113312,-2.18995171933433
2009,-0.172119402182852,0.570192997660564,-1.31102602595193,-0.991406015542284
2010,-1.52321773763735,-16.1694075521011,-36.324821702512,-0.608568833329845
2011,-0.100486324696799,-1.87421634410008,-4.78468377346911,-1.0034242227902
2012,-1.74166108972146,-24.0538149168439,-41.5966684042022,-0.860906226759679
2013,-0.0812574842355092,-142.35354861492,-308.641598832185,-447.418739360062
2014,-322.220918810139,-1557.95013884418,-4146.30122445286,-482.280433636081
2015,-562.953015899771,-1564.45393323293,-1940.59404952166,-915.503256590416
2016,-150.402158706624,-193.327690166984,-270.91260478161,-1076.56711907082
2017,-64.2913412554165,-286.356185841317,-753.463259450567,-216.911700057416
