year, winter, spring, summer, fall
1999,-Inf,-Inf,-354.448650887875,-181.334431496042
2000,-Inf,-Inf,-145.808866304937,-504.368138770981
2001,-Inf,-Inf,-754.475158230908,-61.5280752464891
2002,-Inf,-Inf,-61.6055212585153,-111.280388026006
2003,-22.8985578062277,-35.2792113213482,-8.07468886261186,-20.1670999328588
2004,-19.0381650595181,-183.672945536124,-12.4612463580316,-2.2041713634209
2005,-88.0171053137496,-35.5627816873918,-6.77064331210403,-80.2008119044718
2006,-8.27942334207268,-742.135599015317,-61.6118500300157,-17.1859027231071
2007,-107.293749420653,-Inf,-492.280818277915,-262.419506950383
2008,-722.007248926419,-178.42130338224,-8.20940371382311,-439.698533891117
2009,-Inf,-Inf,-177.803130902508,-34.5679537757847
2010,-38.9845162635999,-39.5928284958345,-767.312649101197,-29933.3614542959
2011,-100.441482236184,-34.8317271013835,-114.777542306327,-249.306343871742
2012,-Inf,-3814.0964781746,-43.8812726018684,-82.7454481910351
2013,-81.0229945060784,-115.905252725932,-121.185549097303,-105.634231775593
2014,-206.719353341584,-9.88605101483935,-94.7859431478261,-20.4798654763032
2015,-48.3494206311196,-8.5563458877463,-218.331846393123,-474.76970129376
2016,-83.635898684964,-87.8490188412273,-45.705863064553,-22.1390475500809
2017,-1213.6722895937,-1167.4708855703,-34.7234337452128,-3.05219950087524
