year, winter, spring, summer, fall
1995,-0.442766354304585,-3.25205345365791,-0.38289955016379,-2.513462567231
1996,-18.705302891898,-0.708985364195546,-2.25359838269839,-5.12713699329707
1997,-2.79061421359804,-0.996933022170333,-8.67202684835745,-6.02917215411535
1998,0.297329585151955,-4.45908429842266,-7.79137353407404,-1.57172904219083
1999,-4.65633260201635,-15.7732765940995,-0.618899772018174,-9.56870314373168
2000,-72.1184153561498,-4.02213179606367,-0.281268305291437,-11.1572781884569
2001,-98.1302870632346,-5.8470789439564,-6.74451619328884,-7.23127421798666
2002,-1.86056664482287,-3.21444180361429,-4.85887947328232,-3.13305508992933
2003,-8.68172904289465,-5.44268783497655,0.0792485059712098,-0.290673121137564
2004,-3.92812405956964,-23.5463289690565,-8.73849179921544,-8.26899018712058
2005,-19.4897385292321,-4.89494790894525,-4.25183861774485,-10.799949739759
2006,-8.05549838783913,-1.19083220440279,0.318531681816316,-2.4658814744302
2007,-3.41626948727988,-1.65885931905191,0.779154484109454,-13.8081690672827
2008,-93.0079688345135,0.656667365367067,0.603938006567313,-27.3609271029841
2009,-10.6909907985645,0.0921238572206475,0.41623179388916,-27.4048323254676
2010,-39.8452639801269,0.212755721411436,0.743998159776064,-3.28162263111965
2011,-30.7212074732177,0.639246741229767,0.370579500342226,-43.3589347243836
2012,-13.4936481804729,-3.46403695715231,-1.45990362968689,-4.63669551916893
2013,-108.485203988219,-0.380922079469425,0.074401061123042,-7.90246893360518
2014,-4.97576068711536,0.393817406791621,0.720032509254703,-2.66262207038205
2015,-2.83186662507784,-0.344482978466379,0.292485794885199,-12.0074407138192
2016,-34.3554422640711,-0.719045681606496,0.604637230834083,-36.0442381550086
2017,-8.06538864395445,-1.35764364805483,-0.836064436184299,-14.9191704740234
