year, winter, spring, summer, fall
1995,0.367653990164724,0.386923721198926,-3353.38223638547,-47.5678030691889
1996,-2692.52687625191,-52.1640620372886,-1.67195239072019,0.0500424799162349
1997,-7.62923266886852,-240.180635982203,-875.354450327674,-71.8888254242752
1998,-5110.69606772493,-68.5401342957752,-2691.36337631663,-95.3159868255803
1999,-3570.08982211722,-274.144431443107,-52.8552691798573,-6.11539049149083
2000,-1938.82077171047,-977.482515696084,-14521.2899241961,-1140.05333204667
2001,-2510.30394045284,-774.718421770378,-1.05847725173612,-2.80209562473223
2002,-416.961699478739,-1.47325374671436,0.230363198840939,-1.85611219892456
2003,-1.71998482435433,-4769.76638725165,-8367.14425344485,-60.4581692827293
2004,-Inf,-256.03996258054,-223.550952517629,-0.977736799761855
2005,-6.35496132803221,0.410460635897462,-8.0785043117514,-0.212243163452628
2006,-5.47128215387319,-0.0292246334755792,-1.61524499782247,-0.128748529525448
2007,-4.72762032536898,-0.000676606023951587,-32.8185293382921,0.13800213010523
2008,-22735.1303324173,-6.14855279070611,-37.7617409263025,-2.64615872740744
2009,-3.13887637841398,-4.8727002033866,-0.659680432969597,-0.0274442486409257
2010,-1233.44180610646,-0.0454597883184902,-309.582303654854,-141.563882403246
2011,-146.188158553638,-264.849801253244,-383.147127853148,-3.45148450892795
2012,-3.40588067731817,-1.55445478674033,-1.09832183501349,-35.5395342656158
2013,-167545.775272137,-22.6429927560667,-2.05713127367479,-75.82256598698
2014,-362.089986034127,-16067.5179894181,-186260.445258625,-603.335652342286
2015,-2277.66997361068,-640239.808143154,-1339.39130492516,-66.9537772725134
2016,-776.790702286376,-1083.6887960416,-1989.02944786491,-33.5435817943083
2017,-4460.45049366354,-43192.3469282164,-877.889676819675,-5.81598665391455
