year, winter, spring, summer, fall
2005,-59.4345526016558,-50.734142079055,-1.96822926869829,-21.1799970042799
2006,-30.7430273869755,-197.994862282858,-60.7789726111716,-69.5782532988163
2009,-29.0255427442696,-95.9871160520664,-105.003310861752,-12.250968173782
2010,-1.87928364548093,0.0164091206318799,0.0515089218372542,-0.136903404013742
2011,-6.62527393493762,-142.014346582572,-155.772317381136,-307.715160961629
2012,-131.813257498196,-12.9354470184499,-185.102952635934,-120.69266966873
2013,-265.462150376624,-102.598974050628,-21.9838293955285,-6246.11257802687
2014,-9649.98621405277,-5029.00833828551,-103886.408881866,-304.202030351889
2015,-12505.6651517775,-2362.75649813145,-1236.21528754971,-64.879182488198
