year, winter, spring, summer, fall
2001,-1.57622728374095,-8.66232426886122,-9.8261053263693,-1.41273128355173
2002,-4.29392712321166,-2.65597869775248,-52.5612625172541,-328.874510042482
2003,-90.0716963956969,-13.3939273293954,-96.0390205031378,-55.285369513182
2004,-166.64841898177,-18.8770735853411,-9.37238724593041,-9.67228364904815
2005,-162.31587840842,-83.10929398478,-18.114428944736,-99.4444023425379
2006,-631.39719910129,-16.6801729528142,-35.4684468914775,-50.8417650627719
2007,-206.049532226027,-4.63609409969482,-2.21158847185534,-5.10922766252967
2008,-0.799850310820169,-0.188974661112265,-0.288371431901668,-82.1291638683835
2009,-39.8900299797497,-2.0624379973646,-13.152056335665,-4.93734851846971
2010,-4.33005470602485,-4.74817881292855,-1.47810099563846,-21.0731007474105
2011,-110.42262199038,-0.398163568750644,-111.103550968017,-3.3777755875767
2012,-31.0486362924332,-10.4502084306132,-22.7140412528121,-2.80106086874556
2013,-4.2710003805049,-1.38110104811348,-0.351825430933168,-33.1307634299207
2014,-46.1677336386605,-2.51361195571428,-3.16593625849606,-32.5798157511694
2015,-159.956810325122,-2.77598188695182,-17.9563663589427,-9.22931140924161
2016,-14.6101175110692,-4.48358138483865,-17.4380053987521,-73.1117518899301
2017,-7.00258739344904,-5.5997108919196,-17.064061857135,-7.03433007322964
