year, winter, spring, summer, fall
1995,-2.13057531898652,-0.7667929210165,-1.60878614361963,-1.97621060604158
1996,-0.347177371530639,-0.226632781372787,-0.279666391700806,-3.46094677386524
1997,0.365161489861297,-0.631796650752518,-1.47024798617333,-4.30249424027692
1998,0.252721102871204,-0.858586541596942,-0.393587148140972,-4.37987971009129
1999,-0.294305265789831,-0.755023007136141,-3.67971279844262,-13.2875542118845
2000,-2.37011901661613,-0.796846048929613,-2.17190973049241,-1.29250523568888
2001,0.23707123934735,-2.44804488515714,-10.7377192602414,-0.929364095722504
2002,-0.649109110191028,-0.540999182260818,-4.98983937175048,-2.54456626575858
2003,-6.88721438824795,-1.00367646284899,-5.38220038817108,-3.11512368759482
2004,-3.48184303978328,-0.404700499430572,-6.5811236746551,-5.97245750180629
2005,-0.18085699145591,-1.09376376080999,-11.034418528964,-1.09521133464292
2006,-1.16353779611055,-0.660366542085127,-6.20196337897004,-5.38519615951005
2007,0.0297675675359848,-0.615088771108431,-1.14668055722947,-13.3157923606724
2008,-0.191779637793361,-0.728283197534034,-3.97055490323363,-0.259745978925715
2009,0.0584797590940865,-0.143226086849411,-2.60940763291555,-7.98186829793088
2010,-0.303974110119092,-1.62702205126234,-2.56082572107635,-4.45600837266775
2011,-2.05203660132844,0.239355436949039,-8.77443529158744,-0.366883240603349
2012,-1.5686852061124,-2.24387774593306,-4.79905156473617,-29.7154203262875
2013,-0.614462637228333,-0.508829180073787,-3.97093208393836,-4.91512482118475
2014,-0.667673566559852,-1.87534860161636,-0.720401093003742,-4.46261248908309
2015,-2.35287515127623,-0.0607562733933404,-2.56079808645491,-5.10926606297392
2016,-2.87960986590603,-1.73566940378884,-5.66876642436213,-2.82592163922999
2017,-0.54988868382743,-0.783354900397149,-5.97578085611865,-2.99130013531275
