year, winter, spring, summer, fall
1995,-0.230491752592789,-0.146551448957011,-0.531206008854068,-37.0332436587241
1996,0.140352266844574,-2.08205239114264,-4.77610706278027,-23.379264556487
1997,-3.72659194614911,-0.697445398232887,-7.2206713331564,0.220951787265628
1998,-0.705463438188607,-3.46866318974078,-1.50223761220343,-7.7670504848682
1999,-2.33048794391002,-0.386454940167484,-24.3959107806691,-10.3100131841385
2000,-0.216970862111858,-0.374083186283473,-1.74713595637338,-2.04777683155136
2001,-0.246586216837699,0.0638242874828661,-6.51445086705202,-5.83243099012655
2002,-0.281173505012587,-2.94517795386099,-0.605024424284717,-8.45134499843945
2003,-0.0491795511134931,-0.0467300573460321,-0.596694214876033,-1.1186802214759
2004,0.108014946228067,-0.600049690984192,-0.137362637362638,-0.796885207433538
2005,-0.0218706958503261,0.666438047931007,-0.028470805126378,-26.7008710615277
2006,0.797920398003467,0.220354734701861,-0.0555656280241161,-2.1520611980689
2007,-6.61086792632237,-3.19079533013873,-0.35693215339233,-1.63064610919209
2008,-0.0233279354085534,-3.99048001200972,-0.0574712643678161,-0.175543589969462
2009,-0.0212666676327848,0.00992461761136754,-Inf,-3.46299469151629
2010,0.623949742889498,-3.30254371039917,-8.16134453781513,-14.5901609967669
2011,0.117048249598021,0.583470203013899,0.0136934054890514,-135.737885157812
2012,-95.2642336131095,-0.393658835525992,-0.840836743974534,-2.57374394234276
2013,0.21494185050299,-1.5311004784689,NaN,-0.347986937830688
2014,-6.14673068958376,0.195269341932912,NaN,-Inf
2015,-Inf,-0.936992617868772,NaN,-Inf
2016,-0.0345647347977416,-0.0821409191515039,NaN,-Inf
2017,-0.0424823237440124,-0.261221600082602,-Inf,NaN
