,site,average,lat_x,long_x,range,lat_y,long_y,Altitude
60,12304500.0,-4.183413304,48.5617222,-115.9701583,4.0,48.5617222,-115.9701583,1839.0
61,12201500.0,0.779204087,48.54594127,-122.3382169,1.0,48.54594127,-122.3382169,45.0
62,12446400.0,-4.286588869,48.5409819,-119.7642339,4.0,48.5409819,-119.7642339,2287.0
64,5134200.0,0.522906894,48.53608068,-94.562716,3.0,48.53608068,-94.562716,1093.92
65,12181000.0,-5.301297082,48.5337306,-121.4298499,4.0,48.5337306,-121.4298499,305.1
66,12182500.0,0.319333561,48.5262307,-121.4154046,4.0,48.5262307,-121.4154046,330.0
68,12194000.0,-0.923353495,48.52428059,-121.770974,4.0,48.52428059,-121.770974,130.0
69,6164510.0,-17.41383861,48.50920278,-107.2187556,4.0,48.50920278,-107.2187556,2130.0
70,5122000.0,-1.311728989,48.50555109,-100.4348534,4.0,48.50555109,-100.4348534,1428.76
71,12445500.0,-635.9372385,48.49709709,-119.5261623,4.0,48.49709709,-119.5261623,1342.0
72,12355500.0,0.360548983,48.4957972,-114.1267639,4.0,48.4957972,-114.1267639,3145.59
73,12358500.0,-0.148329943,48.49551667,-114.0102083,4.0,48.49551667,-114.0102083,3128.72
74,12448000.0,-1.031200812,48.4770898,-120.1864734,4.0,48.4770898,-120.1864734,1736.26
75,12448500.0,-0.193549965,48.4734787,-120.1773063,4.0,48.4734787,-120.1773063,1718.09
77,6099500.0,-17.03037164,48.4271972,-111.889836,4.0,48.4271972,-111.889836,3087.72
78,6091700.0,-0.389788295,48.42695278,-112.9899833,4.0,48.42695278,-112.9899833,4180.0
79,5090000.0,0.587795353,48.4247108,-97.412023,3.0,48.4247108,-97.412023,812.08
80,12189500.0,0.497001444,48.42455859,-121.5684634,4.0,48.42455859,-121.5684634,266.0
81,12392300.0,-0.232279604,48.42,-116.5019444,4.0,48.42,-116.5019444,2080.0
82,12446995.0,-0.487481651,48.40515066,-119.6217229,4.0,48.40515066,-119.6217229,1398.0
83,12301933.0,-0.967649191,48.40066389,-115.3187194,4.0,48.40066389,-115.3187194,2100.0
84,5131500.0,0.17789401,48.39577636,-93.5493266,4.0,48.39577636,-93.5493266,1083.59
85,6332000.0,-0.37741499,48.37555556,-102.7672222,4.0,48.37555556,-102.7672222,2071.55
86,5116000.0,-0.601140855,48.3722357,-101.5054414,4.0,48.3722357,-101.5054414,1562.0
87,5116500.0,-0.205522823,48.37056947,-101.5701633,4.0,48.37056947,-101.5701633,1634.23
88,12448998.0,-0.115952318,48.3698671,-120.148693,4.0,48.3698671,-120.148693,1640.0
89,6093200.0,-9.656668839,48.36945,-112.8017806,4.0,48.36945,-112.8017806,4140.0
91,12449500.0,0.313015099,48.36514507,-120.1161917,4.0,48.36514507,-120.1161917,1580.0
92,6155500.0,-28.66097908,48.36185278,-107.8628722,4.0,48.36185278,-107.8628722,2221.4
93,12363000.0,-3.005793224,48.3618111,-114.18495,4.0,48.3618111,-114.18495,2981.54
94,6166000.0,-27.29286817,48.3567833,-107.5821861,4.0,48.3567833,-107.5821861,2215.0
95,12362500.0,-4.990162207,48.35657778,-114.0378583,4.0,48.35657778,-114.0378583,3040.0
96,12302055.0,-10.83554357,48.35560278,-115.31465,4.0,48.35560278,-115.31465,2134.1
97,5087500.0,0.327003091,48.3402552,-96.8164502,4.0,48.3402552,-96.8164502,829.93
98,12451000.0,0.391244246,48.32958017,-120.6917668,4.0,48.32958017,-120.6917668,1098.5
99,6101500.0,-221128.7604,48.3059611,-111.0805278,4.0,48.3059611,-111.0805278,2814.03
100,5085000.0,0.425974502,48.286099,-97.3700763,4.0,48.286099,-97.3700763,808.12
101,6331000.0,-0.172191253,48.2844683,-103.5729718,4.0,48.2844683,-103.5729718,1864.7
102,12447285.0,-9.596605208,48.283205,-119.7083938,4.0,48.283205,-119.7083938,818.0
103,12447200.0,-14.57137621,48.2812606,-119.7045047,4.0,48.2812606,-119.7045047,783.55
104,12043163.0,0.654632993,48.2653434,-124.6257923,2.0,48.2653434,-124.6257923,70.0
105,5129115.0,0.193796834,48.2646282,-92.5659935,4.0,48.2646282,-92.5659935,1180.0
106,12167000.0,0.744453313,48.26149178,-122.0476407,2.0,48.26149178,-122.0476407,89.34
107,12187500.0,0.488134114,48.2498311,-121.5845688,4.0,48.2498311,-121.5845688,525.0
108,5117500.0,-0.791318469,48.2458428,-101.3712745,4.0,48.2458428,-101.3712745,1547.01
