year, winter, spring, summer, fall
2008,0.707148124610729,0.378933997817582,0.0162014721038213,0.0674330663786697
2009,0.101968505826684,0.0354081922262225,0.214336533117397,0.0139933868482169
2010,0.0276387899588481,0.0582614689591114,0.22269742555899,0.0756336391260225
2011,0.161363231517067,0.114586492921307,0.0535591479104922,0.0504413337094191
2012,0.484764128580674,0.341199459376443,0.00649374056266848,0.0514505691802072
2013,0.0332929017743349,0.0058479135973977,0.00301442659591845,0.0938320042030311
2014,0.00643259425761214,0.0699238761270325,0.115577505932709,0.459089829535791
2015,0.0670037239486055,0.030099992317972,0.0765771497435013,0.501939244691219
2016,5.00791350676498e-05,0.208105104560865,0.214833926379835,1.04535935309709
2017,0.34535647848349,0.569255462351405,0.0169992891390879,0.283281851029398
