year, winter, spring, summer, fall
1995,0.0167656701620692,0.0935869912735491,0.0463480596130167,0.0246707846709909
1996,0.0128975863892888,0.0770330785493709,0.0564803699927856,0.155781741588105
1997,0.000479346650861846,0.16546273113776,0.00466927016728694,0.306083722633152
1998,0.107573294239291,0.00707965391006726,0.0745307674686202,0.108813953066529
1999,0.124278480414862,0.0652615236256446,0.850413850120345,0.0409607743528952
2000,0.0911519299674258,0.0594457575935914,0.102345052892604,0.0592023455547501
2001,0.00770172113295607,0.067935337334643,0.0765733469472074,0.289822106598465
2002,1.78687538045035,0.024047764718283,0.0682276987508001,0.0402574682405973
2003,0.029766672062099,0.0445480476003614,0.0117491588971375,0.0081500216290663
2004,0.00101852836306667,0.24797446016601,0.016716944470848,0.00346060573624703
2005,0.0547265190459678,0.0307367011861227,0.0117793491465937,0.00603944955720725
2006,0.0180953614656344,0.0306479777433915,0.0234469039870389,0.000157455892043586
2007,0.0151860130758673,0.0135033143347955,0.00014645011186033,0.141704261636944
2008,1.26587232480204e-05,0.00499846210548095,0.0622576129581439,0.00760545243056412
2009,0.00340241083473514,0.130586871228283,0.00190291343129979,0.03858902603832
2010,0.00554473340938623,0.00487212803839916,0.231153075216146,0.0013804487922479
2011,0.0193281488620277,0.019487385522416,0.00405924008189486,0.00625631280142953
2012,0.100573728135045,0.05296546722856,0.00203421579296437,0.0586797632374768
2013,0.0379167501167572,0.185308228245523,0.0364335422692478,0.00226426119505954
2014,0.0953604750386872,0.0065424105377159,0.0616938030721319,0.156371154971718
2015,0.0165380021868357,0.00159214188956209,0.00223299112123231,0.103237627501731
2016,0.0831092174329932,0.0390310468976689,0.00355743094527741,0.00847676573539243
2017,0.0502338747143076,9.07305860216917e-05,0.0645372142502275,0.0349665010015293
