year, winter, spring, summer, fall
1995,0.0194455316978503,0.0118776984796383,0.000966016205063332,0.161624576301515
1996,0.0274148036579232,0.0054700151062036,0.11887009676528,3.27499478647859e-05
1997,0.000425289180778679,0.03358067391781,0.0117379812124103,2.54824017228892
1998,0.0215404637365506,0.022466379135919,0.000965308645448305,0.268427168404813
1999,0.00911137413753663,0.081956411842602,9.60236830008348,0.0213820608322377
2000,0.0279074576871394,0.000186699591381596,0.0225341454561944,0.888732609081656
2001,0.0117030914787832,0.0330197420367503,0.0212951856584451,0.565804519503008
2002,0.132806588508652,0.0760261591618886,0.950916368954657,1.38100117252265e-05
2003,0.0367938889493028,0.00056614191883092,6.50485291450366e-06,0.00125742829861654
2004,0.00455947411767673,0.349309841648199,0.0552599013264339,0.012682229689766
2005,0.0158337970764129,0.0297326496903196,0.0236792607769022,0.00214363318701754
2006,0.47797621652093,0.0073207102484426,0.0222015520161845,0.00117752567537753
2007,0.0629329226841676,0.00611917803461059,0.255917312202064,0.282457026150464
2008,0.113976729433492,0.00634687473259454,3.87756739753207e-05,0.552600427390436
2009,0.000937187557196783,0.0528591655946073,0.127361433721745,0.0773729829481535
2010,0.0425700236181768,0.000101506954833271,0.0473831864171832,0.00879539655813549
2011,0.00574338570289738,0.0270183222584933,0.0686176520742935,0.196748808950418
2012,1.59356537924215e-05,0.0187345678648668,0.0119634431422078,0.0186885197410167
2013,0.0617962602434866,0.591542789773159,0.0302217360883648,0.200633396327617
2014,0.473673840723014,0.00829155638319,0.00861397378492583,0.169884266723303
2015,0.00068752209153686,0.0237773034598984,0.173233363831007,0.141876902311501
2016,0.0017049599178034,0.0264607312617008,2.08882818463584,2.54365847743072
2017,0.0711429425530712,0.0125842541711779,0.0901413877231532,0.0100310460606834
