site_no, average, median, standard_deviation
5382325,-14.45844704,-9.043104247,12.74486784
5382284,-2.404343514,-2.208545246,1.640180357
5382267,-8.219594735,-6.733256249,6.893343591
5382257,-23.44132564,-18.59059507,16.75827412
5382255,-256.5364148,-185.4071211,174.0170657
5382000,0.016881521,0.115504489,0.433874287
5381000,0.501850274,0.573674789,0.300078168
5379500,-0.758484121,-0.582276065,0.599036352
5379400,-0.84451068,-0.588192242,0.867674485
5378500,-1.035747997,-1.020161011,0.541917946
5372995,-0.307706362,0.090706582,1.899861521
5370000,-2.676870414,-0.010693483,8.979786151
5369500,-0.419300646,-0.320023763,0.549190244
5369000,-2.794170478,-2.58075404,3.52699318
5368000,-4.30537236,-2.791755113,6.684291
5367500,-0.342809695,-0.353113979,0.586633068
5366800,-0.499398277,-0.499398277,0.332694722
5365550,-0.466239432,-0.328518206,0.369977008
5365500,-0.603287374,-0.438151065,0.556583284
5362000,0.284418812,0.296601226,0.312052962
5360500,0.141566083,0.089616296,0.330764262
5357335,-3.42984637,0.183442691,9.788952649
5357245,-8.733268557,-0.627109015,37.2657737
5357230,-9.988145246,-5.534318544,9.831160244
5357225,-6.591044381,-4.881179524,5.175900731
5357215,-0.80231952,-0.401908681,1.339588998
5357206,-133.6702791,-113.2707634,134.293562
5356500,0.176005136,0.276422449,0.415931261
5356000,-2.310059468,-0.190918227,8.083601396
5355200,0.227470495,0.364639045,0.550274112
5355092,-0.046801748,-0.046801748,0.070490366
5355024,-0.063157689,-0.083246771,0.297473415
5353800,0.152228588,0.120221449,0.276510182
5345000,-2.343594906,-1.160511687,3.272656089
5344500,-0.771736284,-0.726437835,0.792468239
5344490,-0.701380706,-0.308052357,1.250903636
5342000,-12.7997802,-5.84645833,17.31861003
5341752,-34.44967345,-19.5701448,37.53231479
5341550,-0.372760086,-0.28904928,0.362192576
5340500,-0.229902282,-0.181995276,0.47698003
5338500,0.211297021,0.279603241,0.416567888
5336700,0.201306084,0.367113924,0.502264613
5333500,-0.457554082,0.203356234,2.08112326
5331833,-2.921073963,-1.656474146,4.723752516
5331580,-0.841228694,-0.81560714,0.460973678
5331000,-0.890779549,-0.895555865,0.578097007
5330920,-0.634191835,-0.686898386,0.386988735
5330000,-0.423984501,-0.387447872,0.459888363
5327000,-4.402449008,0.212147574,13.74920625
5325000,-0.410038309,-0.41981338,0.598815416
5320500,0.01643556,0.102677952,0.48885896
5320000,-0.521168896,0.163001559,2.618744423
5319500,-0.319684521,0.33462544,2.467182082
5317200,-0.197438414,0.116338234,1.181306872
5317000,-0.081563553,0.307785662,0.951191221
5316580,-0.413595631,-0.427364975,0.5660667
5316500,-0.638102171,0.229469009,3.635353805
5315000,-0.581190339,0.057081346,2.206539116
5313500,-0.714203211,0.08578224,4.190314116
5311000,-0.522323297,-0.270634972,1.002192039
5305000,-0.605719244,-0.340689765,1.01456072
5304500,-1.599087757,-0.791468631,2.618601639
5301000,-0.944267763,-0.842352031,1.294026888
5300000,-0.365303424,0.011034901,1.030347702
5294000,-1.062110312,-0.589591522,1.865402574
5293000,-1.869352883,-0.106499987,6.712799987
5292000,-13.23202962,-0.169477603,58.02393851
5291000,-0.818223843,-0.042204868,2.565057315
5290000,-2.090590008,-0.153407451,6.831750188
5289800,-10.68138643,-5.38432935,15.43696883
5288705,-17.89553596,-17.5207811,10.74690087
5288580,-4.590328853,-3.783372805,3.711612788
