site_no, average, median, standard_deviation
3324200,0.042554148,0.128470914,0.196651665
3324000,0.158091955,0.162410808,0.246179586
3323587,-0.009175355,0.051369944,0.141377281
3323000,-890.2611251,-530.4802715,1060.931924
3322985,0.242416726,0.142571366,0.272523706
3322900,0.189537025,0.176646088,0.277267983
3322485,-0.051028663,-0.019379399,0.291508639
3322011,-0.798823764,0.168406696,3.087408466
3321350,0.562094653,0.700076099,0.390200065
3320500,0.419200267,0.50709379,0.331862871
3320000,-0.906551978,-0.912982141,0.511178612
3318800,0.508809436,0.677861299,0.362525675
3316500,-0.670569273,-0.683020967,0.439884482
3314500,-1.156531444,-0.784866151,2.232567105
3314000,0.470726592,0.513748133,0.223667636
3313700,0.547432261,0.651005544,0.238148741
3312259,0.141626834,0.262112154,0.87073557
3310400,-33.62962868,-17.2673404,33.66238581
3310300,-1.218583125,-0.222516712,3.506700097
3310000,-0.055805996,0.414301359,1.103128957
3308500,-0.613230868,-0.464072806,0.657076233
3307000,0.09363474,0.199443037,0.460073322
3305000,0.525499995,0.49587901,0.256154914
3303300,0.565060202,0.604956814,0.242288098
3303000,0.165764951,0.249664216,0.504929528
3302800,0.436590533,0.419855647,0.231609697
3302680,0.214670641,0.359775015,0.553697424
3302220,0.564258403,0.684334277,0.373885889
3302050,-0.526676543,0.33880461,1.876318311
3302030,0.462135183,0.615190974,0.471506463
3302000,0.475612448,0.644783742,0.407382413
3301940,-0.10020039,0.585282834,2.303225483
3301900,0.112031197,0.442922229,1.040593661
3301500,-0.463118397,-0.472064397,0.539087678
3301000,0.123119072,0.266493501,0.469639297
3300400,0.052111596,0.138479565,0.34753765
3298550,0.44052588,0.580928765,0.496562933
3298500,-0.062352311,-0.000110048,0.301924662
3298300,-0.072553032,0.287562636,1.134200454
3298250,0.121823849,0.595459604,1.305085122
3298200,-0.330205161,-0.303708041,0.144629387
3298135,-1.664923394,-0.944792463,2.129549453
3298000,0.715125009,0.771307471,0.190322114
3297900,0.659546204,0.736527804,0.260089409
3297800,0.256650281,0.355661924,0.399377819
3295890,0.653418866,0.749747473,0.235016145
3295400,0.468075626,0.529592777,0.225204345
3294570,-1.459194813,0.119367583,5.383234872
3294550,-3.251413366,-2.188104969,2.988197146
3294000,0.57309209,0.654285626,0.3022436
3293530,0.426815775,0.685346008,0.505834726
3293510,0.582070565,0.62689205,0.187876751
3293000,-0.424656321,-0.010887549,1.316737579
3292500,-0.449050573,-0.284403577,0.833703497
3292480,-0.660070173,-0.582430136,1.367062222
3292474,0.594177675,0.676792037,0.500162267
3292470,0.614688994,0.701864038,0.313673439
3291780,0.610112316,0.690200713,0.271237727
3291500,-0.096578271,0.145983955,1.117523281
3291000,0.541334988,0.554265907,0.219771265
3290500,-1.147120917,-1.250395619,0.586964259
3290080,-1.187105301,-0.741332732,0.829309775
3289500,0.281722785,0.274528608,0.238952211
3289300,0.333578167,0.307172343,0.220107399
3289200,0.339678305,0.345804578,0.205119532
3289193,0.070396857,0.034591223,0.249212294
3289000,0.370718869,0.32800451,0.223676328
3288180,-23.45129668,-17.97099732,12.97166371
3288100,0.341485976,0.305549218,0.198670274
3287600,0.307414698,0.267244176,0.19261549
3287590,0.330923654,0.349696288,0.22743435
3287500,-1.032827685,-1.106621504,0.511953868
3287250,-1.151452249,-1.146806924,0.506893369
3287000,-1.255861535,-1.419230356,0.45835401
3286500,-0.855783074,-0.950755714,0.51251636
3286200,-3.744818002,-0.028543239,10.3541394
3285000,0.527260624,0.674776335,0.384096217
3284580,0.404255723,0.384742079,0.205491192
3284552,-0.612499538,-0.5611599,0.236718961
3284533,0.018771607,0.104057657,0.339508081
3284525,-4.58969351,-3.736372665,3.046414012
3284500,-0.883839186,-0.930423383,0.663765235
3284230,-0.814942101,-0.701089651,0.527198663
3284000,-0.767635102,-0.721116874,0.551149583
3283500,0.282522268,0.342160042,0.25863401
3282500,0.392761393,0.518776127,0.370496599
3282290,-0.584209653,-0.481381271,0.568869614
3282120,-0.516829437,-0.375775066,0.500103268
3282060,-0.402846774,-0.138218896,0.622400473
3282040,0.546503664,0.645817331,0.276699878
3282000,-0.350034983,-0.315170744,0.368860382
3281500,0.040483176,0.07006553,0.384678539
3281100,0.663453669,0.744990106,0.214915671
3281000,0.162955391,0.272565023,0.370910781
3280700,0.56194503,0.651407109,0.262576719
3280000,0.042448127,0.087891745,0.376920305
3277500,0.205521284,0.203981339,0.285061204
3277300,0.452164687,0.53980893,0.264581717
3277130,0.709020896,0.733700584,0.156230902
3277075,0.498598547,0.464736471,0.164021451
3276500,0.328148383,0.509078523,0.65130903
3275600,0.400139164,0.449616552,0.419126497
3275000,0.05306912,0.439962307,1.312261927
3274650,0.126066626,0.12158689,0.237564858
3274000,-0.518989672,-0.381320919,0.454297673
3272700,0.378781602,0.550877146,0.590659586
3272100,-0.136215438,-0.025999702,0.425903998
3272000,0.56152927,0.697275382,0.356032553
3271620,-0.30559008,-0.482809408,0.290483903
3271601,-0.125537058,-0.066056186,0.387014607
3271300,0.300889999,0.289893222,0.139732067
3271000,0.026339965,0.376131459,1.164635889
3270500,-0.055536055,-0.019066981,0.388631222
3270000,-0.054682836,0.117774726,0.609230513
3269500,-0.450211383,-0.184253649,0.83776191
3267900,-0.913775067,-0.52323329,2.327251436
3267000,-3.827116228,-2.350966753,4.944898824
3266560,-0.382048699,0.05938755,1.089075762
3265000,0.251911506,0.336299526,0.329873037
3264000,0.215899518,0.428600917,0.795627958
3263000,0.011605006,-0.028036496,0.317563012
3262700,0.04923228,0.123445898,0.284199393
3262500,-0.009697347,0.038420118,0.196537783
3262001,0.716660037,0.780543176,0.166633202
3262000,0.192119786,0.157850974,0.204852603
3261950,0.131945297,0.080792824,0.187396296
3261500,0.353207443,0.375338924,0.299024482
3260706,0.406383883,0.368463827,0.325251414
3260100,-1.935418844,0.261707536,9.01681719
3260050,0.460274926,0.536905521,0.257283028
3260015,0.278556088,0.336120673,0.34818826
3259000,0.36691678,0.487075395,0.494197531
3254693,-0.401443622,-0.241267227,0.8717341
3254550,0.639264546,0.607473022,0.149427924
3254520,-0.32236999,-0.283228333,0.358970526
3254480,0.596333224,0.671825959,0.257472576
3253500,-0.578386142,-0.575974684,0.501930778
3253000,0.088890986,0.061257887,0.187748531
3252300,0.348625238,0.380267653,0.176114923
3251500,-0.214200038,-0.104715297,0.429318018
3251200,0.549420823,0.569474736,0.205302844
3250500,0.001720722,-0.033661862,0.304809038
3250322,0.068262929,0.241565324,0.686270245
3250190,0.041568481,0.356684965,0.858686821
3250100,0.510240498,0.605206155,0.227898359
3248300,-0.471507029,0.071808102,2.391471458
3247500,0.114898263,0.193825549,0.31522295
3246500,0.201978494,0.190124008,0.280402859
3245500,-0.164822382,-0.054457659,0.468337862
3244936,0.649608142,0.705527033,0.199465445
3241500,0.494199356,0.557910524,0.275716413
3240000,0.143175848,0.600975307,1.384431039
