site_no, average, median, standard_deviation
8375300,-32.06655425,-25.20151741,26.97684574
8374550,-28.87889265,-13.33902711,30.16385215
8361000,-142544.5243,-30.32064144,645130.8418
8359500,-42.67595854,-25.98282197,34.74339251
8358400,-65.51578382,-35.95102603,62.26269112
8358300,-18.12422858,-16.59754614,13.6437657
8355490,-47.37546642,-45.24575543,31.86030657
8355050,-36.81374393,-35.05680459,24.26926107
8354900,-29.59358925,-27.68814756,21.02462965
8353000,-10.09189583,-1.07842874,30.31363933
8343500,-10809.95566,-4901.215072,16485.97683
8340500,-0.029424514,-0.051527547,0.086291802
8332010,-27.98248102,-23.78025822,17.05183537
8331510,-28.27664678,-26.72756475,15.34704322
8331160,-30.43394471,-31.7400482,18.67378151
8330875,-47.7938047,-37.93328695,45.697224
8330600,-3348.859882,-18.74211309,13388.70488
8330000,-42.3428379,-37.56907414,29.32460082
8329928,-49.07305826,-41.83083414,50.967805
8329918,-97.4426971,-38.36801979,227.4897411
8329900,-0.584942741,-0.030287769,1.310916843
8329870,-35.65366204,-15.74993691,45.43335774
8329835,-6.709430683,-0.518452473,21.21342324
8328950,-59.79829857,-12.59942674,89.16599378
8324000,-3.370858786,-0.684829877,8.256264543
8319000,-40.88836945,-14.77359314,47.83072551
8317400,-38.52096057,-18.60977484,48.08806661
8317200,-87.47158587,-30.09395274,160.7819865
8316000,-439.6229536,-1.214410349,1929.404582
8315480,-30.31451719,-19.25810065,46.69883782
8313350,-3.478522001,-5.25,3.081289408
8313000,-26.7883967,-16.43047633,34.21961472
8302500,-4.888356982,-2.856205782,7.582306715
8294210,-1.465195754,-0.566517005,2.603114233
8291000,-10.11249347,-4.987955799,13.11527276
8290000,-3.096034646,-0.928355528,4.693374338
8289000,-18.12343421,-4.818311089,32.71714723
8287000,-2.847692757,-1.218868381,4.530362299
8286500,-3.151569096,-0.56562488,7.421815377
8285500,-5.176605938,-0.533164573,11.82574007
8284100,-1.773250094,-1.501515976,1.803023553
8279500,-69.05279031,-38.82118354,80.57857099
8279000,-29.22680856,-2.902171523,73.00583694
8277470,-80.89790305,-10.56971556,171.2236893
8276500,-82.01925737,-37.00363996,117.7658003
8276300,-32.96383391,-13.27552222,49.39065899
8275500,-107.8717477,-24.17553555,168.9235896
8271000,-24.78462227,-5.070504362,44.20073732
8269000,-59.82951876,-17.28961529,139.2075082
8267500,-20.02080385,-5.253157377,31.96604478
8266820,-23.79881435,-16.05678357,33.11825324
8265000,-4.730415782,-2.566815777,6.741303875
8263500,-120.5259168,-66.36863107,193.9511967
8261000,-1868.711077,-1868.711077,2405.925558
8255500,-7.109628301,-2.493381534,14.11486719
8211900,-32283.87446,-503.8542843,90478.65649
8211520,-28.11804425,-0.659444949,70.5600689
8211500,-11415.2487,-61.13722074,47147.09934
8211200,-894.5704337,-61.83526032,2308.444289
8211000,-1113.422016,-59.75618916,3462.786735
8210000,-687.706084,-39.19869738,2041.89559
8208000,-3.108845072,-0.347062578,7.496196639
8207500,-85.17002188,-5.309906597,246.9841695
8206910,-249321.9835,-3204.391542,701895.8413
8206600,-212710.6066,-15.62425935,1010467.367
8198500,-27171.95211,-85.15818595,97805.34758
8196000,-1.477118652,-0.773092246,1.887147956
8195000,-4.698985225,-1.847927703,7.265472166
8194500,-1361.763118,-36.79467247,3845.893089
8190000,-9.169820043,-0.856815389,16.44086241
8189998,-66.41596927,-24.91172733,89.68045399
8189700,-11.76121757,0.063164989,26.5086822
8189500,-133.0728745,-0.227848409,419.0597343
8188810,-21.18589089,-16.35194034,14.67411487
8188800,-158.8048388,-21.40597854,473.4115182
8188570,-24.23359574,-8.53715049,54.92711937
8188500,-8.15529086,-6.191288107,11.62577744
8188060,-9.439601953,-11.41149115,7.095432907
8186000,-72.76240863,-5.085986545,206.3075326
8185500,-180.036818,-7.252038397,517.7771575
8185100,-216.1722777,-24.08489518,635.46655
8185065,-179.2361213,-48.33802935,322.0156674
8183900,-0.672330735,-0.864212034,1.040948079
8183500,-10.61712273,-8.208994551,11.14492146
8183200,-6.477530485,-4.171195989,7.988897305
8181800,-10.14290515,-4.423059414,12.0568175
8181500,-35.22065642,-7.132048078,75.03045738
8181480,-245.6645082,-55.27501221,473.0351282
8181400,-1.676291915,0.010499398,5.108504535
8180720,-794.0830826,-69.5782533,2047.8725
8180700,-408.5436872,-13.88248685,1190.651846
8180586,-2.893734923,-1.89525208,2.782969046
8178800,-216.9099861,-38.81782095,588.4335649
8178700,-338411.735,-293.940919,1466862.336
8178593,-25676.05593,-147.6852037,68692.0388
8178565,-3.344129108,-1.470634273,5.593677276
8178500,-0.283628757,-0.283628757,1.620615918
8178050,-2.727468611,-0.627439745,5.592296794
8177700,-5847.965273,-7.978377545,23246.4594
8177520,-3.571463037,-2.603974963,3.578837856
8177500,-1680.741508,-342.5803242,3000.565527
8176550,-35.77444075,-14.04108199,45.95898602
8176500,-3.97954971,-1.805564586,5.41216035
8175800,-3.748667256,-2.648749724,4.44879295
8175000,-1.603533378,-0.465997682,2.290101737
8174600,-10.18084327,-0.041629185,35.10015598
8173900,-4.637951298,-2.476671642,6.029359337
8173000,-436.4448602,-13.8014789,1560.343091
8172000,-78.39539294,-6.081938676,206.403451
8171400,-96.18109417,-31.19209026,166.0274472
8171350,-0.928808955,-0.466258379,1.217520423
8171290,-0.260156007,-0.589791617,0.946454244
8171000,-16.88621655,-2.912816627,34.62828963
8170500,-228.04586,-109.4638275,402.0056505
8169792,-4.46981701,-1.002629365,6.262524153
8169000,-474.3109234,-91.7851999,700.9126742
8168932,-34.76523278,-34.76523278,26.92212886
8168500,-2.946194678,-1.069985581,6.488995768
8167800,-21.57972825,-0.83186233,82.13737328
8167500,-3.903090115,-0.502103234,8.398341362
8167000,-6.883799904,-1.197963401,16.62077602
8166250,-30.51342166,-9.114752937,51.33291654
8166200,-13.37619893,-1.831325246,26.24034685
8166140,-39.54468177,-4.811869052,109.8483092
8166000,-10.10949821,-3.226323603,19.20412799
8165500,-63.29818882,-6.63064905,139.9970037
8165300,-216.5481407,-6.599438709,809.7295968
8164800,-2033.533603,0.262593537,9643.37658
8164600,-2.499552961,0.157058261,7.18999947
8164503,0.110657994,0.209264767,0.358374636
8164450,-0.023077896,-0.043393316,0.372572702
8164300,-24.51345812,-0.48107745,105.1876879
8164000,-1.377091951,-0.113978507,3.945170681
8163500,-5.244311561,-5.244311561,2.030243661
8162600,-0.581714231,0.116931753,2.578086143
8162500,-31.1581672,-2.582455892,67.23106947
8162000,-88.84427236,-10.25919826,209.0903901
8161000,-48.14151894,-8.007902109,138.006419
8160800,-2.552485026,-0.395857513,5.725063161
8160400,-37.89562025,-7.041500154,86.14086312
8159500,-43.6253837,-15.85987148,78.18457219
8159200,-55.0463269,-17.26773899,110.3610684
8159000,-43.28507407,-3.58945061,74.81848712
8158970,-12.46969655,-4.378312732,16.87050138
8158860,-6269.768732,-52.99198372,21622.24776
8158813,-1.085167004,-1.085167004,0.378485042
8158600,-9.583253417,-2.13989751,21.13183054
8158380,-0.906152067,-0.406385085,2.036129188
8158200,-45.16511237,-3.858151992,115.0733538
8158035,-4.554210294,-2.03267435,6.079347242
8158000,-146.7823377,-20.94528646,356.9554925
8156910,-61.36087217,-48.81632023,43.88322249
8156800,-2.528153785,-0.219382646,6.209396242
8156675,-6.053045097,-2.987872004,9.316664051
8155541,-11.28518581,-0.951750759,22.45066342
8155500,-439.7871426,-82.11695304,1073.624679
8155240,-5.90812907,-0.177551223,11.86094755
8154700,-43.39671099,-9.039686667,88.15191598
8153500,-2.423493591,0.079627689,9.874661182
8152900,-27.6566084,0.057959375,119.9101849
8152000,-146.4788831,-0.432646147,611.2355997
