site_no, average, median, standard_deviation
7303400,-106.5597459,-6.336091313,260.2406885
7303000,-131769.723,-45867.75513,251197.4509
7301500,-50.28972152,-0.061667429,166.5322951
7301420,-16.22669298,-1.441093047,39.00676706
7301410,-26.32363427,-1.321677952,60.20564769
7301110,-121.4357533,-3.691279887,540.8071017
7300000,-942.9778119,-25.65640636,3777.089992
7299890,-490.0767396,-158.7243161,628.0708578
7299670,-1.89792814,0.067062566,4.261269929
7299540,-6.20457502,-0.021156448,19.52211385
7298500,-17.28974012,-0.593968969,31.27198649
7297910,-77.97215742,-1.558532441,334.2500348
7292500,-0.713843026,-0.559394432,0.793810659
7291000,-0.807769626,-0.160831109,1.42575851
7290650,-28.95641083,-0.205759551,81.69482718
7290000,-0.345249485,-0.140979917,0.905759384
7289730,-0.18945862,-0.06938547,0.668763013
7289350,-0.194118692,0.174912593,1.08198587
7289000,-0.40254573,-0.397193587,0.27941939
7288650,-0.513181492,-0.305277725,0.614440055
7288521,-0.674438905,-0.334012112,1.372365684
7288500,-0.722856016,-0.390776787,1.046573382
7288280,-0.696095962,-0.268643584,1.559175123
7288068,-1.186415803,-0.986608482,1.091333603
7287404,-1.678801689,-0.00472774,3.413387671
7285500,-4.8397152,-1.074138933,10.52460406
7285400,0.324524292,0.41300675,0.214632077
7283000,-0.170392439,0.028257637,0.697912056
7281600,-13.47491364,-2.051846418,28.80970243
7275900,-2.637001106,-1.366067169,3.61150503
7274252,-0.0772841,0.391564936,0.953813602
7274000,-0.280989172,0.228393833,1.400769361
7273100,-17.28864401,0.471011282,46.25668213
7268000,-0.375905225,-0.044111317,1.013040684
7264000,-6.621898927,-0.276273179,16.53127381
7263605,-24.69611315,-6.513026495,77.23009259
7263555,0.321905619,0.332586326,0.299203668
7263296,-0.716784923,0.047715193,2.021323507
7263295,-0.234914931,0.21100978,1.67387811
7263012,-11.97607501,-0.299505692,43.77381721
7261250,-55.6103148,-9.534050366,190.0206901
7261200,-5017.902982,0.376320589,12291.92373
7261000,-28.06015173,0.293460942,129.8213091
7260990,-485.6848349,0.027536842,1277.702726
7260678,-0.054087826,0.419960554,1.28328626
7260673,-138.6030451,-0.036629496,529.0214128
7260500,-0.938698705,-0.743956078,1.33328081
7260000,-52.92002386,-0.705481952,202.5063173
7258500,-14.9718432,0.072399561,54.32966079
7257693,-6.542978165,-0.013373702,13.44419508
7257500,-5.177997671,0.158622178,20.02220933
7257473,-47.13002532,-12.74334515,143.9433985
7257460,0.232887164,0.232887164,0.242856989
7257450,0.38967781,0.38967781,0.07535504
7257006,-16.51702029,-0.190027329,48.98065925
7252000,-4.432760119,0.338014975,18.9403203
7250965,-1.010856396,0.283896795,3.018708349
7250085,-33.28997934,-0.299169545,121.8676976
7249985,-8.110724839,0.276883235,32.6262472
7249920,-16.96611542,-0.476563572,48.15036937
7249800,-19.70538552,0.185242686,79.39827344
7249455,-1.265451662,-0.804906985,1.525412769
7249413,-1.686398666,-0.24772601,4.297130713
7249400,-5.433474947,0.043896812,24.18775244
7247500,-0.397209593,0.372030489,1.991520848
7247250,-14.12525733,-3.749499835,28.92814978
7247015,-12.10009641,-2.465819695,24.88949128
7247000,-21.2848658,-0.587255821,66.55486857
7245000,-1.980895523,-1.304672296,2.97622284
7243500,-0.828827949,-0.276866815,1.717082488
7242380,-1.126922999,-0.051532446,2.319663855
7242000,-17.83238113,-7.854047435,25.2323165
7241800,-25.19444448,-17.06406186,32.53239068
7241550,-22.24249648,-15.76056593,22.37647903
7241520,-22.05078762,-16.00211361,21.18705927
7241000,-37462.24898,-47.50650492,93957.65208
7240000,-0.48927846,-0.302613575,0.603095384
7239700,-228.3269673,-20.05102747,590.8560567
7239500,-1518.751532,-35.79287167,6510.874742
7239450,-4197.452099,-35.57277141,19306.58299
7239300,-2688.288217,-72.79714108,11938.54295
7239000,-86.92352021,-51.79701964,102.9894774
7238000,-272.7542902,-116.9574388,422.2469177
7237500,-1347.242546,-398.6404929,2445.900777
7235600,-1340.379303,-323.7211645,1994.078273
7235000,-2420.773495,-129.2087652,6761.976067
7231500,-20.73778243,-1.10804577,65.32502222
7231000,-39.47192478,0.06364476,143.3544431
7230500,-142.4123767,-0.137189594,474.0426916
7230000,-803318.089,-3.574706511,1550345.837
7229300,-1.279743412,-1.279743412,1.140049769
7229200,-36.09214658,-5.051559744,116.9254454
7229050,-66.76179998,-6.300951785,157.9419506
7228940,-309.0968441,-11.62979256,946.5449347
7228500,-173.8205285,-25.66604644,650.6177013
7228000,-1962.599406,-316.8916143,3113.178808
7227500,-159706.9879,-6.148287603,765626.8489
7227100,-0.246240057,-0.137110872,0.329615964
7227000,-2157225.46,-50812.12514,6962963.222
7226500,-0.240604523,-0.055781536,0.743581297
7221500,-48.97726912,-0.945440341,183.1771337
7218000,-55.0032904,-0.477637273,149.2863644
7216500,-266.9834041,-1.504838371,1261.406354
7215500,-23.27466916,-2.584146371,87.74057716
7211500,-16.94552438,-5.408316426,34.34314613
7208500,-6.890522437,-1.46042911,14.17833433
7207500,-195.0294246,-1.130663755,633.6517963
7207000,-12.14191554,-5.739741256,15.84042567
7206000,-26.30997648,-3.919402146,101.2501959
7203000,-16.55608176,-4.39855281,26.26959622
7198000,-1.016374974,-0.512607625,1.40613295
7197360,-2.197174579,-0.206185832,6.525588997
7197000,-2.133316412,-0.450781275,4.149942614
7196900,-18.41670479,-1.136495552,41.15265003
7196500,-0.959645173,-0.081890318,2.890301448
7196090,0.253538397,0.263695613,0.304041551
7196000,-6.536214404,-0.360926206,16.13432331
7195865,-0.971541597,0.239482658,3.187875754
7195855,-4.454683544,0.101822208,10.23569731
7195800,-5.859789743,-1.571629607,9.867657012
7195500,-0.585052365,0.244765719,2.236792594
7195430,-0.817628593,0.20923851,3.226735655
7195400,-0.190520194,0.269551308,1.550956504
7195000,-1.032222811,-0.07444567,1.978636506
7194933,0.176063139,0.058710539,0.201002975
7194906,-2.983097358,-3.018768907,2.143653009
7194880,-4.055061244,-0.129870689,8.352837582
7194809,-4.055915657,-1.341590457,6.845948892
7194800,-1.630382329,-0.008170801,5.16061997
7194500,-3.158136803,-1.447639331,4.470032649
7191500,-31.66220017,-0.903461281,147.5219168
7191288,-1.893859511,-0.317192843,4.382946483
7191222,-4.396489379,-1.112294829,9.588127272
7191220,-22.50915925,-4.283695186,29.9017006
7191179,-17.24968836,-6.769726125,26.20418349
7191160,-18.88946671,-6.716108012,27.07148928
7191000,-2.180918275,-0.193633105,7.795549037
7189542,-35.56692377,-12.90055364,64.56285718
7189540,-19.99348308,-1.925128344,46.59384273
7189100,-0.119034017,0.052904473,1.177669808
7189000,-3.576285147,-0.422658319,6.254832162
7188885,-4.400355714,-0.071525621,15.38861272
7188838,-2.150146117,-0.312358294,3.569293764
7188653,-8.032490799,-3.132874835,12.32037567
7188000,-0.221078889,-0.220106926,0.545905483
7187600,0.061823722,0.032507273,0.425844537
7187000,0.131177297,0.369846345,0.965991066
7186480,-38.53767627,-8.7398902,127.4156619
7186055,0.489557638,0.50685393,0.256008854
7186000,-0.321996305,0.269786115,2.364479985
7185910,0.114408876,0.21631595,0.597647551
7185765,-2.403152761,0.240352781,6.222203402
7185700,-1.432928836,0.371829378,4.033586925
7185095,-25.05080524,0.464951897,85.6372509
7185090,-2.431343805,0.367730868,9.550158688
7185000,-3.196799222,-0.696056496,10.42112046
7184500,0.378786488,0.33989056,0.163391372
7184000,0.222315074,0.352632404,0.468925415
7183500,-3.362620131,-0.568096324,12.81758553
7183000,-123.3706563,-0.058880719,590.018503
7182510,-97.40357809,0.164670794,466.1070765
7182390,-3.614005511,0.015938693,9.458231692
7182260,0.081118557,0.073162017,0.339244807
7182250,-0.399184403,0.040735949,1.961728081
7182200,-0.271576114,-0.013274892,0.818639154
7180500,-4.821776012,0.123621759,19.00061182
7180400,-0.187336642,0.093276147,1.080529816
7179795,-1251.269222,-0.143081479,4582.049305
7179750,-15.74048564,0.207108695,45.14053251
7179730,-8.507424344,0.09614017,36.12802857
7179700,0.344446191,0.430843129,0.292656912
7179500,-6.854987085,-0.458042301,16.13144291
7179300,0.364850116,0.395866511,0.121958623
7178200,-0.179146429,-0.04203549,0.846355197
7178000,-0.17844406,0.115167491,1.147390047
7177800,-2.841092771,-1.391989515,3.968741252
7177650,-103.7428199,-4.77861616,360.6243371
7177500,-0.809247046,0.069494959,2.364416406
7176950,0.265104269,0.208701845,0.368943516
7176500,-2.424440664,0.141567762,9.02213415
7176000,-2.412869392,-0.589534938,6.169841623
7175500,-12.46152831,-0.00489155,58.42143283
7174400,-27.45885492,-0.070450343,127.3492672
7172000,-3.274479778,0.092962202,10.18417344
7171000,-1.755858523,-0.116506123,4.765432209
7170990,-1.640415504,-0.136299513,4.052229004
7170500,-0.933293042,-0.098480945,2.992499954
7169800,-30.42441575,0.079169323,106.9203376
7169500,-0.65681238,0.012238491,1.89382381
7167500,-2.014659688,0.117408433,6.283107344
7166500,-0.26686233,0.148066441,1.632733747
7165750,0.057864557,0.219961903,0.721724359
7165570,-6.421817246,-1.115909295,12.55571713
7165565,0.138971869,0.282241498,0.455694948
7165562,-0.439143592,-0.040524469,1.143761505
7164600,0.143839018,0.288206379,0.460706229
7164500,-8.144732261,-1.389544505,17.85400959
7161450,-4.252651483,-1.050693601,5.876630872
7160500,-3.45041038,0.16283188,14.39206711
7160350,-0.427855708,0.211268902,2.029372801
7160000,-10.33512733,-1.770465203,16.33242916
