site_no, average,dec_lat_va,dec_long_va,NSE_state
1104480,-0.947986094,42.3556519,-71.2650565,4
1104475,-2.510418467,42.3545408,-71.2681121,4
1104405,0.430606826,42.436484,-71.2695014,4
1104455,-2869.940285,42.37259606,-71.27033448,4
1100568,-1.839185782,42.46703909,-71.2722795,4
10642505,-196.1141102,44.08388889,-71.2855556,4
1064801,0.516977534,43.83007396,-71.2878488,3
1103455,-6.487018074,42.25398645,-71.29339017,4
1100000,-0.243861076,42.64592464,-71.2983937,4
1099500,-0.606263031,42.6367581,-71.3020047,4
1109403,-0.326031913,41.83093377,-71.3503315,4
10965852,-182.8656247,42.78286636,-71.35367448,4
1089500,0.638025329,43.25674759,-71.36951248,3
1113895,0.245241843,41.8884331,-71.38144467,4
1098500,-0.726194692,42.31514167,-71.3838083,4
1103280,-0.453298706,42.1398197,-71.3895032,4
1098530,0.005743376,42.3253732,-71.3975605,4
1097300,-1.221712267,42.51259289,-71.40422829,4
1089925,0.575275808,43.15980438,-71.4059011,3
1114000,-0.052701593,41.833989,-71.41061208,4
1129200,-2.732440012,45.04032368,-71.4439704,4
1117000,0.381873274,41.6412122,-71.4445016,4
1116500,0.016699594,41.75093399,-71.4450575,4
1097000,-0.366356567,42.432038,-71.4497848,4
1092000,-0.020735361,42.9481405,-71.4634002,4
1130000,0.618613757,44.62505316,-71.4689721,3
1116905,0.452140341,41.63,-71.47888889,4
1089100,0.470775762,43.21369248,-71.4803481,4
1114500,-0.905900885,41.8589884,-71.4872823,4
1112500,0.375375777,42.0064871,-71.5025613,4
1094000,0.233918226,42.8575865,-71.5061785,4
1117350,-0.66392281,41.4823233,-71.5511719,4
1111500,0.409001956,41.99648716,-71.56200758,4
1116000,-1.532435806,41.69010026,-71.5658958,4
1117370,-0.257598285,41.53898957,-71.568673,4
1096500,-0.8363889,42.66758945,-71.57506809,4
1115170,-1.979856009,41.84093269,-71.584508,4
1115183,-0.017826322,41.79759966,-71.5847857,4
1081000,-2.303003935,43.44174376,-71.5875752,4
1117420,-0.06587635,41.4767673,-71.6047849,4
1115098,-0.029294091,41.8525992,-71.6061754,4
1115110,-0.037258729,41.8456548,-71.6095088,4
1115114,-0.110472849,41.83759929,-71.6120089,4
1111212,0.205364027,42.05481959,-71.6164542,4
1117430,0.264120273,41.44621186,-71.6211738,4
1117468,-4.533580131,41.49260037,-71.6281194,4
1137500,0.491065895,44.2686741,-71.6303617,4
1129500,-0.043305698,44.74977166,-71.63120018,4
1115630,0.042411986,41.6267667,-71.6325646,4
1091000,0.545159313,43.01480519,-71.64146129,3
1115280,-0.191827439,41.80398827,-71.6497879,4
1110500,-3.069104632,42.15370688,-71.65201138,4
1081500,0.036944152,43.42285456,-71.6528543,4
1096000,-0.418241605,42.63425619,-71.6578479,4
1074520,0.537099704,44.0475669,-71.6598029,3
1115276,-11.57723802,41.7853772,-71.6672885,4
1075000,0.513603475,43.9761792,-71.6795244,3
1117500,-0.001040582,41.44510024,-71.68089828,4
1076500,0.454256422,43.7592388,-71.6856337,4
1111300,0.281397372,41.9812093,-71.68590049,4
1115265,-0.125767973,41.7906548,-71.6986785,4
1115190,-0.114060057,41.8223213,-71.70034528,4
1115187,0.472890462,41.8187102,-71.7050677,4
1093852,0.439343584,42.8425858,-71.7067399,4
1110000,-0.508583344,42.230372,-71.7109023,4
1118000,0.199973638,41.49815516,-71.7164561,4
1117800,-0.135759605,41.5739884,-71.72062318,4
1131500,0.092888157,44.4100591,-71.7206438,4
1094500,0.565332649,42.49506389,-71.7219333,3
1086000,0.485651767,43.25091159,-71.7322996,4
1085500,0.510601865,43.1928569,-71.7472995,3
1078000,0.398955617,43.56646307,-71.747857,4
1109730,-0.108788136,42.1889835,-71.7650702,4
1095434,-1.404073216,42.36453675,-71.775349,4
1094400,0.613976581,42.57620079,-71.7881285,3
1095220,0.062555562,42.41092507,-71.7911829,4
1095375,-8.025301905,42.37286967,-71.8281279,4
1118500,0.315662558,41.38371065,-71.8331247,4
1077400,0.448692951,43.70388889,-71.8333333,4
1118300,-0.57387758,41.4748222,-71.8342361,4
1134500,0.102362862,44.5117231,-71.8373143,4
1076000,0.413405129,43.79562647,-71.8453594,4
1085000,0.60453569,43.1520237,-71.85730149,3
1133000,0.316082637,44.63394195,-71.8975942,4
1124151,0.03792402,41.94356667,-71.8995972,4
1125100,0.084489574,41.97846389,-71.90051389,4
1125500,0.222090487,41.909475,-71.91386389,4
1125490,0.120726938,41.92784444,-71.9300083,4
1124000,-0.205366116,42.0223189,-71.9556289,4
1082000,0.62978565,42.8625837,-71.95924609,3
1127000,0.16420185,41.59749167,-71.9840944,4
